Name	POS
쌀	NNG
을	JKO
씻	VV
어	EC
분	VX+ETM
정도	NNG
물	NNG
에	JKB
불려	VV+EC
둔다	VX+EC
멥쌀	NNG
과	JC
찹쌀	NNG
의	NNG
비율	NNG
로	JKB
사용	NNG
하	XSV
면	EC
좋	VA
습니다	EF
뚱	NNG
이랑	JKB
현미	NNG
랑	JKB
흑미	NNG
섞	VV
으면	EC
더	MAG
예뻐요	VA+EC
작	VA
은	ETM
뭉치	NNG
개	NNBC
은행	NNG
볶	VV
아	EC
껍질	NNG
벗긴다	VV+EC
불	NNG
중약	NNG
불로	NNG
줄인	VV+ETM
다음	NNG
물엿	NNG
이나	JC
올리고당	NNG
수저	NNG
넣	VV
고	EC
같이	MAG
주	VX
이	JKS
쉽	VA
게	EC
벗겨	VV+EC
집니다	VX+EF
그린	NNP
씨	NNB
엘	JKB+JKO
끓	VV
는	ETM
데치	VV
는데	EC
국자	NNG
를	JKO
둥글	VV
밀	VV
져요	VX+EF
기름기	NNG
없	VA
되	VV
요	EC
밥심	NNG
국력	NNG
으면서	EC
조금	MAG
어서	EC
주걱	NNG
숫가락	NNG
등	NNB
으로	JKB
저	VV
잘	MAG
밤	NNG
벗기	VV
대추	NNG
깨끗이	MAG
미리	MAG
색	NNG
변해요	VV+EF
담가	VV+EC
두	VX
세요	EP+EF
애	NNG
빼	VV
시	EP
나중	NNG
상	NNG
지	EC
않	VX
빼놓	VV
으세요	EC
생강	NNG
솔	NNG
구석	NNP
닦	VV
셔야	EP+EC
합니다	VX+EF
밥	NNG
짓	VV
다가	EC
한소끔	MAG
끓어오르	VV
잣	NNG
약한	VA+ETM
뜸	NNG
들인다	VV+EC
압력	NNG
밥솥	NNG
괜찮	VA
다시마	NNG
한	MM
조각	NNG
아요	EF
곰	NNG
택	NNG
먹	VV
기	ETN
제거	NNG
뒤	NNG
피안	NNG
화	XSN
쓰	VV
레시피	NNG
출처	NNG
조선	NNP
나	JC
호두	NNG
견과	NNG
류	XSN
오랫동안	NNG
익힐	VV+ETM
필요	NNG
가	JKS
다	EC
무르	VA
거나	EC
퍼질	VV+ETM
수	NNB
있	VV
으므로	EC
들	XSN
일	VCP+ETM
때	NNG
는다	EC
마른	VV+ETM
행주	NNG
후	NNG
냄비	NNG
바닥	NNG
깔	VV
슬	NNG
빼낸	VV+ETM
분량	NNG
배합	NNG
초	NNB
버무려	VV+EC
식힌다	VV+EC
묵	VV
할	VV+ETM
식초	NNG
몇	MM
방울	NNG
떨어트려	VV+EF
잡	XPN
냄새	NNG
밥맛	NNG
빵	NR
방방	NNG
다시다	NNP
이유	NNG
향	NNG
때문	NNB
인가	VCP+EC
암튼	MAJ
뭐	NP
든	VCP+EC
맛있	VA
어야	EC
대동	NNG
최고	NNG
표면	NNG
먼지	NNG
됐	VV+EP
싶	VX
신	XPN
승순	NNG
볼	NNG
계란	NNG
풀	VV
소금	NNG
간	NNG
프라이팬	NNG
식용유	NNG
두르	VV
지단	NNG
부친다	VV+EC
혼합	NNG
냉장고	NNG
한번	MAG
확인	NNG
해	XSV+EC
보	VX
맛살	NNG
잘라서	VV+EC
다지	VV
멸치	NNG
어도	EC
답니다	EC
좀	MAG
설탕	NNG
녹	NNG
까지	JX
끓였	VV+EP
식혀서	VV+EC
뜨거울	VA+ETM
살살	MAG
나무	NNG
자르	VV
듯이	EC
섞여	VV+EC
식	VV
약해	VA+EC
처음	NNG
약간	MAG
센	VA+ETM
듯	NNB
해야	XSA+EC
필승	NNG
가로	NNG
세로	NNG
도록	EC
자른다	VV+EF
땐	NNG+JX
따뜻	XR
에서	JKB
이때	NNG
손	NNG
부채	NNG
질	XSN
여	EC
식히	VV
면서	EC
언제나	MAG
웃음	NNG
버	VV
무	EC
릴	NNG
으깨	VV
버무리	VV
말	VX
선풍기	NNG
식혀	VV+EC
시용	NNG
앤	NNG+JX
령	NNG
너무	MAG
안	MAG
므로	EC
서로	MAG
달라붙	VV
요리	NNG
표고버섯	NNG
불린	VV+ETM
얇	VA
채	MAG
썰	VV
오이	NNG
돌려	VV+EC
깎	VV
부분	NNG
만	JX
당근	NNG
곱	VA
각각	MAG
한다	VV+EC
달걀	NNG
만든	VV+ETM
체	NNG
번	NNBC
걸러	VV+EC
줘야	VX+EC
알끈	NNG
전체	NNG
적	XSN
노란색	NNG
만들	VV
개인	NNG
취향	NNG
맛	NNG
매운	VA+ETM
고추	NNG
파	NNG
같	VA
걸	NNB+JKO
우유	NNG
부드럽	VA
고소	XR
해서	XSA+EC
긴	ETN+JX
한데	VX+EC
부서져	VV+EC
용각산	NNP
미나리	NNG
잎	NNG
떼	VV
소금물	NNG
데친	VV+ETM
기름	NNG
키친타월	NNG
묻혀	VV+EC
라이	NNG
씩	XSN
부	NNG
워	NNG
서	JKB
만드	VV
탱자	NNG
열매	NNG
팬	NNG
살짝	MAG
내	VX
한결	MAG
매끄럽	VA
진다	VX+EC
후라이팬	NNG
먼저	MAG
달군	VV+ETM
식혔	VV+EP
푸	VV
어요	EF
위	NNG
펴	VV
둔	VX+ETM
올리	VV
김밥	NNG
준	VX+ETM
한입	NNG
크기	NNG
마다	VV+EC
묶	VV
썬	VV+ETM
녹말	NNG
밀가루	NNG
찢	VV
진다고	VX+EC
던데요	EC
미술	NNG
키친	NNG
타올	NNG
낸	VX+ETM
부치	VV
것	NNB
읍니다	EC
오르간	NNG
부어서	VV+EC
뒤집	VV
아도	EC
양쪽	NNG
익	VV
개미	NNG
씽	MAG
손질	NNG
골뱅이	NNG
통조림	NNG
유동	NNG
샘	NNG
표	NNG
동원	NNG
유명	NNG
제품	NNG
가지	NNG
으나	EC
가장	MAG
싱싱	MAG
슈가	NNP
파이	NNG
바로	MAG
아니	VCN
라	EC
뜨거운	VA+ETM
위생	NNG
도	JX
줄	VX+ETM
거	NNB
꿍	MAG
야	JX
냠냠	MAG
두껍	VA
그렇	VA
다고	EC
써	VV
씹	VV
식감	NNG
망치	VV
더라구요	EF
적당히	MAG
맛나	VA
승규	NNP
맘마	NNG
없애	VV
깍둑썰기	NNG
반	NNG
갈라	VV+EC
어슷썰	VV
절여	VV+EC
셨	EP+EP
물기	NNG
꼭	MAG
짜	VV
아삭	MAG
오	NR
블	NNG
리비	NNG
아테	NNG
비추	NNG
입니다	VCP+EF
낫	VA
다는	ETM
생각	NNG
에요	EF
볶음	NNG
라니	VCP+EC
무슨	MM
인지	VCP+EC
원	NNG
매그넘	NNP
동그랗	VA
나온	VV+ETM
혹은	MAJ
칼	NNG
깍	VV
줘서	VX+EC
양파	NNG
와	JKB
깻잎	NNG
이것저것	NNG
보단	JKB+JX
기본	NNG
인	VCP+ETM
야채	NNG
은데요	EF
구요	EF
캔	VV+ETM
옥수수	NNG
톡톡	MAG
웅	NNG
레몬	NNG
즙	NNG
놓	VX
찬물	NNG
보다	JKB
훨씬	MAG
안녕	NNG
양념	NNG
재료	NNG
양념장	NNG
만든다	VV+EC
엔	JKB+JX
뭐니뭐니	MAG
해도	VV+EC
어울리	VV
과하	VA
많이	MAG
맛집	NNG
새콤	MAG
달콤	XR
전	MM
참고	NNG
쫑	NNG
토끼	NNG
최	XPN
쪽파	NNG
줍니다	VX+EF
마늘	NNG
다진	VV+ETM
자른	VV+ETM
골고루	MAG
버무린다	VV+EC
마세요	VX+EP+EF
려면	EC
대신	NNG
파프리카	NNG
피망	NNG
마지막	NNG
고춧가루	NNG
뿌려서	VV+EC
토	NNG
토스	NNG
무침	NNG
가루	NNG
더욱	MAG
준비	NNG
곁들여	VV+EC
낸다	VX+EC
심심	XR
고요	NNG
차	VV
삶	VV
